,MUNICNAME,lat,long
131,Mogale City Local Municipality,-25.987077731313487,27.683044173506335
132,Mohokare Local Municipality,-30.20844602157708,26.708426479355683
133,Molemole Local Municipality,-23.49794688080781,29.567221883415318
134,Mookgopong Local Municipality,-24.550840071791153,28.858551635233233
135,Moqhaka Local Municipality,-27.500952572515263,27.19372401181528
136,Moretele Local Municipality,-25.168616005896656,28.049494197207256
137,Moses Kotane Local Municipality,-25.13341621439956,26.86545912282712
138,Mossel Bay Local Municipality,-34.042303345596146,21.941756224453297
139,Mpofana Local Municipality,-29.18540701718931,30.036031524751778
140,Msinga Local Municipality,-28.61806987106274,30.460233412128783
141,Msukaligwa Local Municipality,-26.468179957638515,30.129621792044922
142,Mthonjaneni Local Municipality,-28.58507518920973,31.384331540649008
143,Mtubatuba Local Municipality,-28.287745634561134,32.294952007312745
144,Musina Local Municipality,-22.431340903091648,29.73116009431214
145,Mutale Local Municipality,-22.558679424558996,30.827945524050318
146,Nala Local Municipality,-27.620085113867965,26.44350105794879
147,Naledi Local Municipality,-27.811319376692218,25.46456220498758
148,Nama Khoi Local Municipality,-29.45635317323506,17.914912775345105
149,Ndlambe Local Municipality,-33.5231106300336,26.743969679594162
150,Ndwedwe Local Municipality,-29.42448983217975,30.971145236609473
151,Nelson Mandela Bay Metropolitan Municipality,-33.8039880397984,25.49213124220143
152,Newcastle Local Municipality,-27.73925420638297,29.876192813232933
153,Ngqushwa Local Municipality,-33.186504636711774,27.19865507870452
154,Ngquza Hill Local Municipality,-31.24052658448274,29.619360778966787
155,Ngwathe Local Municipality,-27.29575709512779,27.731911356236232
156,Nkandla Local Municipality,-28.658742985599584,30.992847475348135
157,Nketoana Local Municipality,-27.849730288822443,28.246098640654452
158,Nkomazi Local Municipality,-25.50244188003761,31.73018489612968
159,Nkonkobe Local Municipality,-32.771636496319886,26.784573351579258
160,Nongoma Local Municipality,-27.911780178566882,31.74556035686869
161,Nqutu Local Municipality,-28.305785642672234,30.73840260297182
162,Ntabankulu Local Municipality,-30.97905461136049,29.30140239448172
163,Ntambanana Local Municipality,-28.567645144280846,31.710933505627647
164,Nxuba Local Municipality,-32.573126416497516,26.270316360246245
165,Nyandeni Local Municipality,-31.593568922888963,29.067915072216497
166,Okhahlamba Local Municipality,-28.75538913558351,29.31612678095887
167,Oudtshoorn Local Municipality,-33.59261308257328,22.22153706985238
168,Overstrand Local Municipality,-34.47129407720138,19.371648421637744
169,Phokwane Local Municipality,-27.796375975620165,24.80902254332639
170,Phumelela Local Municipality,-27.676291968461896,29.22924943783386
171,Pixley Ka Seme Local Municipality,-27.12849724779142,29.95586860269029
172,Polokwane Local Municipality,-23.947622050273733,29.488223721224422
173,Port St Johns Local Municipality,-31.536133432650523,29.421279947368095
174,Prince Albert Local Municipality,-33.0511199876929,22.130117608349305
175,Ramotshere Moiloa Local Municipality,-25.210331890183443,26.121852108364866
176,Randfontein Local Municipality,-26.186316208393965,27.595095489620313
177,Ratlou Local Municipality,-26.082011034969018,25.063610470656798
178,Renosterberg Local Municipality,-30.255627531549607,24.450366315169056
179,Richmond Local Municipality,-29.891750708402842,30.287467112777662
180,Richtersveld Local Municipality,-28.768234043160803,17.059551072171967
181,Rustenburg Local Municipality,-25.66016274630252,27.331588211883002
182,Sakhisizwe Local Municipality,-31.44488403050869,27.779275086972664
183,Saldanha Bay Local Municipality,-33.010183399820285,18.17613416361255
184,Senqu Local Municipality,-30.865504121283163,27.561052438945257
185,Setsoto Local Municipality,-28.5792231154483,27.573380390554476
186,Siyancuma Local Municipality,-28.983648115997685,23.36813518948783
187,Siyathemba Local Municipality,-29.633505078252405,22.552082571778726
188,Sol Plaatjie Local Municipality,-28.743361921796943,24.514285167086747
189,Stellenbosch Local Municipality,-33.92604126065792,18.944770632372304
190,Steve Tshwete Local Municipality,-25.83694410418764,29.551938218339828
191,Sundays River Valley Local Municipality,-33.51165091579187,25.496766192070876
192,Swartland Local Municipality,-33.30973980958514,18.62024620373427
193,Swellendam Local Municipality,-34.036892321821846,20.508885589575097
194,Thaba Chweu Local Municipality,-25.064888911690844,30.57153056391579
195,Thabazimbi Local Municipality,-24.543689402985116,27.186489866444195
196,The Big 5 False Bay Local Municipality,-27.859951102886324,32.444189511653946
197,The Msunduzi Local Municipality,-29.652244810988595,30.310037454940133
198,Theewaterskloof Local Municipality,-34.160849261771354,19.439563249098835
199,Thembelihle Local Municipality,-29.708429919741256,23.76500157782145
200,Thembisile Local Municipality,-25.47033603916526,28.95192824102041
201,Thulamela Local Municipality,-22.92901265949714,30.9332312111005
202,Tlokwe City Council Local Municipality,-26.738725461074143,27.15013630218539
203,Tokologo Local Municipality,-28.47258877733581,25.355991999884118
204,Tsantsabane Local Municipality,-28.037723618575242,22.553380369191448
205,Tsolwana Local Municipality,-31.850143722439512,26.096562046159704
206,Tswaing Local Municipality,-26.618122295887034,25.65319372529782
207,Tswelopele Local Municipality,-28.06607467266059,25.931548564559048
208,UMuziwabantu Local Municipality,-30.631036716984553,29.87602466153938
209,UPhongolo Local Municipality,-27.48629648883536,31.578249862224425
210,Ubuhlebezwe Local Municipality,-30.189576049726064,30.165071641788845
211,Ubuntu Local Municipality,-31.373606571979884,23.13363307356158
212,Ulundi Local Municipality,-28.23958005549952,31.309444916664155
213,Umdoni Local Municipality,-30.346394111361263,30.670841112862767
214,Umhlabuyalingana Local Municipality,-27.189486474741198,32.56120147408579
215,Umjindi Local Municipality,-25.748728977394947,31.001018650091645
216,Umsobomvu Local Municipality,-30.847983056034955,25.047436425369828
217,Umtshezi Local Municipality,-28.897912161446527,29.978282418949345
218,Umvoti Local Municipality,-29.033905415408523,30.682533333881544
219,Umzimkhulu Local Municipality,-30.291650916898906,29.737706509173307
220,Umzimvubu Local Municipality,-30.776753357457572,29.024325796483218
221,Umzumbe Local Municipality,-30.48461040672223,30.33704891045091
222,Ventersdorp Local Municipality,-26.313793780645923,26.898650088708823
223,Victor Khanye Local Municipality,-26.13261769843674,28.76884914427866
224,Vulamehlo Local Municipality,-30.20917023188736,30.57242229986937
225,Westonaria Local Municipality,-26.393594292586265,27.65648555337493
226,Witzenberg Local Municipality,-32.949759074184364,19.68891633540439
227,eDumbe Local Municipality,-27.469617673124695,30.810622929639845
228,uMhlathuze Local Municipality,-28.789455748659815,31.935444354659502
229,uMlalazi Local Municipality,-28.904859982318772,31.444902303279665
230,uMngeni Local Municipality,-29.438697211998637,30.09822971910067
231,uMshwathi Local Municipality,-29.380647464916194,30.58306256652759
